Blend ID(BDID),Characteristics of material,Material type,Mixing / Blending method,Molecular weight,Morphology,Name,Non-solvent,Polymer type,Polymerization information,Processing information,Remarks,Sample ID,Sequence info,Solvent,Branch/crosslink info,Glass transition temp.,comp_01_CU Chemical Strucutre,comp_01_CU formula,comp_01_Composition[%],comp_01_Composition[TLC-FID Area],comp_01_Composition[],comp_01_Composition[mol ratio of monomer repeating units],comp_01_Composition[mol ratio],comp_01_Composition[mol%],comp_01_Composition[part],comp_01_Composition[phr],comp_01_Composition[ratio],comp_01_Composition[unknown],comp_01_Composition[vol ratio],comp_01_Composition[vol%],comp_01_Composition[wt ratio],comp_01_Composition[wt%],comp_01_Formula weight(FW),comp_01_PID of Component,comp_01_Sample ID,comp_02_CU Chemical Strucutre,comp_02_CU formula,comp_02_Composition[%],comp_02_Composition[TLC-FID Area],comp_02_Composition[],comp_02_Composition[mol ratio of monomer repeating units],comp_02_Composition[mol ratio],comp_02_Composition[mol%],comp_02_Composition[part],comp_02_Composition[phr],comp_02_Composition[ratio],comp_02_Composition[unknown],comp_02_Composition[vol ratio],comp_02_Composition[vol%],comp_02_Composition[wt ratio],comp_02_Composition[wt%],comp_02_Formula weight(FW),comp_02_PID of Component,comp_02_Sample ID,comp_03_CU Chemical Strucutre,comp_03_CU formula,comp_03_Composition[%],comp_03_Composition[TLC-FID Area],comp_03_Composition[],comp_03_Composition[mol ratio of monomer repeating units],comp_03_Composition[mol ratio],comp_03_Composition[mol%],comp_03_Composition[part],comp_03_Composition[phr],comp_03_Composition[ratio],comp_03_Composition[unknown],comp_03_Composition[vol ratio],comp_03_Composition[vol%],comp_03_Composition[wt ratio],comp_03_Composition[wt%],comp_03_Formula weight(FW),comp_03_PID of Component,comp_03_Sample ID,comp_04_CU Chemical Strucutre,comp_04_CU formula,comp_04_Composition[%],comp_04_Composition[TLC-FID Area],comp_04_Composition[],comp_04_Composition[mol ratio of monomer repeating units],comp_04_Composition[mol ratio],comp_04_Composition[mol%],comp_04_Composition[part],comp_04_Composition[phr],comp_04_Composition[ratio],comp_04_Composition[unknown],comp_04_Composition[vol ratio],comp_04_Composition[vol%],comp_04_Composition[wt ratio],comp_04_Composition[wt%],comp_04_Formula weight(FW),comp_04_PID of Component,comp_04_Sample ID,Reference
BD000009,Thermoplastic,Neat resin,Blended at 220C and 100rpm in single screw Brabender lab extruder,,,polyethene//polystyrene,,Blend,,,,,,,,"['Glass transition temp. ca 104.4 [C]', 'Method: Modulated DSC', 'Condition: Heating rate;3C/min & second heating', 'Remarks: Tg of PS, taken from the Fig.3']",,C8H8,,,,,,,,,,,,,,70,104.15,P020001,38456-1-1-1,,CH2,,,,,,,,,,,,,,30,14.03,P010001,38456-3-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thirtha, Vivek M.; Lehman, Richard L.; Nosker, Thomas J. , Materials Research Society Symposium Proceedings , 856E , 1-6 (2004)"
BD000009,Thermoplastic,Neat resin,Blended at 220C and 100rpm in single screw Brabender lab extruder,,,polyethene//polystyrene,,Blend,,,,,,,,"['Glass transition temp. ca 102.6 [C]', 'Method: Modulated DSC', 'Condition: Heating rate;3C/min & second heating', 'Remarks: Tg of PS, taken from the Fig.3']",,C8H8,,,,,,,,,,,,,,85,104.15,P020001,38456-1-1-1,,CH2,,,,,,,,,,,,,,15,14.03,P010001,38456-3-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thirtha, Vivek M.; Lehman, Richard L.; Nosker, Thomas J. , Materials Research Society Symposium Proceedings , 856E , 1-6 (2004)"
BD000011,"Thermoplastic,Amorphous",Neat resin,rPS pellets and PB pieces cut by knife dry-blended,,,polyethene//polystyrene//polybutadiene,,Blend,,"Injection: Dry-blended sample moulded by injection, barrel teom. 165-221C, mould temp. 27C",,,,,,"['Glass transition temp. ca 101.1 [C]', 'Method: DSC', 'Condition: Heating rate;10C/min', 'Remarks: Taken from the Fig.5', 'Related Info.(Heat capacity increment): 0.040W/g; 10C/min']",,C8H8,,,,,,,,,,,,,,98,104.15,P020001,,,C4H6 / C4H6,,,,,,,,,,,,,,2,54.09 / 54.09,P900436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ciesielska, Danuta; Liu, Ping , Cellular Polymers , 18 , 4 , 237-250 (1999)"
BD000011,"Thermoplastic,Amorphous",Neat resin,rPS pellets and PB pieces cut by knife dry-blended,,,polyethene//polystyrene//polybutadiene,,Blend,,"Injection: Dry-blended sample moulded by injection, barrel teom. 165-221C, mould temp. 27C",,,,,,"['Glass transition temp. ca 101.1 [C]', 'Method: DSC', 'Condition: Heating rate;10C/min', 'Remarks: Taken from the Fig.5', 'Related Info.(Heat capacity increment): 0.035W/g; 10C/min']",,C8H8,,,,,,,,,,,,,,95,104.15,P020001,,,C4H6 / C4H6,,,,,,,,,,,,,,5,54.09 / 54.09,P900436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ciesielska, Danuta; Liu, Ping , Cellular Polymers , 18 , 4 , 237-250 (1999)"
BD000011,"Thermoplastic,Amorphous",Neat resin,rPS pellets and PB pieces cut by knife dry-blended,,"Phase sepd., dispersed particle (PB) size 0.5-6micrometer, poor adhesion between two phases (analysis of fractured surface by SEM)",polyethene//polystyrene//polybutadiene,,Blend,,"Injection: Dry-blended sample moulded by injection, barrel teom. 165-221C, mould temp. 27C",,,,,,"['Glass transition temp. ca 100.4 [C]', 'Method: DSC', 'Condition: Heating rate;10C/min', 'Remarks: Taken from the Fig.5', 'Related Info.(Heat capacity increment): 0.0409W/g; 10C/min']",,C8H8,,,,,,,,,,,,,,90,104.15,P020001,,,C4H6 / C4H6,,,,,,,,,,,,,,10,54.09 / 54.09,P900436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ciesielska, Danuta; Liu, Ping , Cellular Polymers , 18 , 4 , 237-250 (1999)"
BD000012,"Thermoplastic,Crystal",Neat resin,Injection molding blending,,Cylindrical PS particles dispersed in continuous matrix of HDPE and size of morphological element increased. Plastic deformation and debonding not observed (SEM),polyethene//polystyrene//polystyrene-block-(hydrogenated polybutadiene)-block-polystyrene,,Blend,,"Electron beam irradiation: 0kGy
Shape of Test Piece: Sheet
Remarks: t=2.3-2.5mm",,,,,,"['Glass transition temp. 110 [C]', 'Method: DSC', 'Condition: Heating rate;15C/min&N2']",,CH2,,,,,,,,,,,,,,48.75,14.03,P010001,38380-1-1-1,,C8H8,,,,,,,,,,,,,,48.75,104.15,P020001,38380-2-1-1,,C4H8 / C8H8 / C8H8 / C4H8,,,,,,,,,,,,,,2.5,56.11 / 104.15 / 104.15 / 56.11,P903208,38380-3-1-1,,,,,,,,,,,,,,,,,,,,"Vasile, C.; Munteanu, B. S.; Pascu, M. C.; Stoleriu, A.; Brebu, M.; Nita, L.; Tomescu, A.; Cojocariu, A.; Nemes, E.; Zaharescu, T. , Focus on Natural and Synthetic Polymer Science , 1-30 (2006)"
BD000012,"Thermoplastic,Crystal",Neat resin,Injection molding blending,,Cylindrical PS particles dispersed in continuous matrix of HDPE and size of morphological element increased. Intense plastic deformation of HDPE observed (SEM),polyethene//polystyrene//polystyrene-block-(hydrogenated polybutadiene)-block-polystyrene,,Blend,,"Electron beam irradiation: 0kGy
Shape of Test Piece: Sheet
Remarks: t=2.3-2.5mm",,,,,,"['Glass transition temp. 108.8 [C]', 'Method: DSC', 'Condition: Heating rate;15C/min&N2']",,CH2,,,,,,,,,,,,,,45,14.03,P010001,38380-1-1-1,,C8H8,,,,,,,,,,,,,,45,104.15,P020001,38380-2-1-1,,C4H8 / C8H8 / C8H8 / C4H8,,,,,,,,,,,,,,10,56.11 / 104.15 / 104.15 / 56.11,P903208,38380-3-1-1,,,,,,,,,,,,,,,,,,,,"Vasile, C.; Munteanu, B. S.; Pascu, M. C.; Stoleriu, A.; Brebu, M.; Nita, L.; Tomescu, A.; Cojocariu, A.; Nemes, E.; Zaharescu, T. , Focus on Natural and Synthetic Polymer Science , 1-30 (2006)"
BD000012,"Thermoplastic,Crystal",Neat resin,Injection molding blending,,Cylindrical PS particles dispersed in continuous matrix of HDPE and size of morphological element increased. Torn HDEP fibrils observed. (SEM),polyethene//polystyrene//polystyrene-block-(hydrogenated polybutadiene)-block-polystyrene,,Blend,,"Electron beam irradiation: 0kGy
Shape of Test Piece: Sheet
Remarks: t=2.3-2.5mm",,,,,,"['Glass transition temp. 110.8 [C]', 'Method: DSC', 'Condition: Heating rate;15C/min&N2']",,CH2,,,,,,,,,,,,,,40,14.03,P010001,38380-1-1-1,,C8H8,,,,,,,,,,,,,,40,104.15,P020001,38380-2-1-1,,C4H8 / C8H8 / C8H8 / C4H8,,,,,,,,,,,,,,20,56.11 / 104.15 / 104.15 / 56.11,P903208,38380-3-1-1,,,,,,,,,,,,,,,,,,,,"Vasile, C.; Munteanu, B. S.; Pascu, M. C.; Stoleriu, A.; Brebu, M.; Nita, L.; Tomescu, A.; Cojocariu, A.; Nemes, E.; Zaharescu, T. , Focus on Natural and Synthetic Polymer Science , 1-30 (2006)"
BD000012,"Thermoplastic,Crystal",Neat resin,Injection molding blending,,Cylindrical PS particles dispersed in continuous matrix of HDPE and size of morphological element increased. Plastic deformation and debonding not observed. Fractured surface more homogeneous (SEM),polyethene//polystyrene//polystyrene-block-(hydrogenated polybutadiene)-block-polystyrene,,Blend,,"Electron beam irradiation: 2MeV electron, 150kGy
Shape of Test Piece: Sheet
Remarks: t=2.3-2.5mm",,,,,,"['Glass transition temp. 110 [C]', 'Method: DSC', 'Condition: Heating rate;15C/min&N2']",,CH2,,,,,,,,,,,,,,48.75,14.03,P010001,38380-1-1-1,,C8H8,,,,,,,,,,,,,,48.75,104.15,P020001,38380-2-1-1,,C4H8 / C8H8 / C8H8 / C4H8,,,,,,,,,,,,,,2.5,56.11 / 104.15 / 104.15 / 56.11,P903208,38380-3-1-1,,,,,,,,,,,,,,,,,,,,"Vasile, C.; Munteanu, B. S.; Pascu, M. C.; Stoleriu, A.; Brebu, M.; Nita, L.; Tomescu, A.; Cojocariu, A.; Nemes, E.; Zaharescu, T. , Focus on Natural and Synthetic Polymer Science , 1-30 (2006)"
BD000012,"Thermoplastic,Crystal",Neat resin,Injection molding blending,,Cylindrical PS particles dispersed in continuous matrix of HDPE and size of morphological element increased. Intense plastic deformation of HDPE observed. Fractured surface more homogeneous (SEM),polyethene//polystyrene//polystyrene-block-(hydrogenated polybutadiene)-block-polystyrene,,Blend,,"Electron beam irradiation: 2MeV electron, 150kGy
Shape of Test Piece: Sheet
Remarks: t=2.3-2.5mm",,,,,,"['Glass transition temp. 109 [C]', 'Method: DSC', 'Condition: Heating rate;15C/min&N2']",,CH2,,,,,,,,,,,,,,45,14.03,P010001,38380-1-1-1,,C8H8,,,,,,,,,,,,,,45,104.15,P020001,38380-2-1-1,,C4H8 / C8H8 / C8H8 / C4H8,,,,,,,,,,,,,,10,56.11 / 104.15 / 104.15 / 56.11,P903208,38380-3-1-1,,,,,,,,,,,,,,,,,,,,"Vasile, C.; Munteanu, B. S.; Pascu, M. C.; Stoleriu, A.; Brebu, M.; Nita, L.; Tomescu, A.; Cojocariu, A.; Nemes, E.; Zaharescu, T. , Focus on Natural and Synthetic Polymer Science , 1-30 (2006)"
BD000012,"Thermoplastic,Crystal",Neat resin,Injection molding blending,,Cylindrical PS particles dispersed in continuous matrix of HDPE and size of morphological element increased. Torn HDEP fibrils observed. Fractured surface more homogeneous (SEM),polyethene//polystyrene//polystyrene-block-(hydrogenated polybutadiene)-block-polystyrene,,Blend,,"Electron beam irradiation: 2MeV electron, 150kGy
Shape of Test Piece: Sheet
Remarks: t=2.3-2.5mm",,,,,,"['Glass transition temp. 110.8 [C]', 'Method: DSC', 'Condition: Heating rate;15C/min&N2']",,CH2,,,,,,,,,,,,,,40,14.03,P010001,38380-1-1-1,,C8H8,,,,,,,,,,,,,,40,104.15,P020001,38380-2-1-1,,C4H8 / C8H8 / C8H8 / C4H8,,,,,,,,,,,,,,20,56.11 / 104.15 / 104.15 / 56.11,P903208,38380-3-1-1,,,,,,,,,,,,,,,,,,,,"Vasile, C.; Munteanu, B. S.; Pascu, M. C.; Stoleriu, A.; Brebu, M.; Nita, L.; Tomescu, A.; Cojocariu, A.; Nemes, E.; Zaharescu, T. , Focus on Natural and Synthetic Polymer Science , 1-30 (2006)"
BD000014,",Crystal",Neat resin,Polymn. blending,,,polyethene//poly(acrylic acid),,Blend,"Type: addition
Mechanism: radical
Condition: aq. 80vol% acrylic acid absorbed in LDPE film and in situ thermally polymd.","Shape of Test Piece: Sheet
Remarks: t=250micron",,,,,,"['Glass transition temp. 72.9 [C]', 'Method: DSC', 'Condition: Heating rate;10C/min', 'Remarks: Tg of PAA rich phase']",,CH2,,,,,,,,,,,,,,4,14.03,P010001,14352-1-1-1,,C3H4O2,,,,,,,,,,,,,,96,72.06,P040001,14352-2-1-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"De Britto, Ana Regina Feitosa; Ximenes, Maria Irismar N.; De Barros, Glaucione Gomes , Journal of Applied Polymer Science , 60 , 11 , 1793-1802 (1996)"
BD000019,,Neat resin,Blend prepared by melt-mixing in cam mixer(Brabender) at 160C for 15min,,,"polyethene//cis-1,4-polyisoprene//cis-1,4-polyisoprene",,Blend,,"Compression: 130C, 7kN, 2min",,,,,,"['Glass transition temp. -55 [C]', 'Method: DMA', 'Condition: Heating rate; 2C/min, Frequency; 10Hz']",,C5H8,,,,,,,,,,,,,60,,68.12,P060002,13492-1-1-1,,CH2,,,,,,,,,,,,,40,,14.03,P010001,13492-2-1-1,,C5H8,,,,,,,,,,,,,0,,68.12,P060002,13492-3-1-1,,,,,,,,,,,,,,,,,,,,"Ahmad, Sahrim; Abdullah, Ibrahim; Sulaiman, Che Som; Kohjiya, S.; Yoon, J. R. , Journal of Applied Polymer Science , 51 , 8 , 1357-1363 (1994)"
BD000019,,Neat resin,Blend prepared by melt-mixing in cam mixer(Brabender) at 160C for 15min,,,"polyethene//cis-1,4-polyisoprene//cis-1,4-polyisoprene",,Blend,,"Compression: 130C, 7kN, 2min",,,,,,"['Glass transition temp. -46 [C]', 'Method: DMA', 'Condition: Heating rate; 2C/min, Frequency; 10Hz']",,C5H8,,,,,,,,,,,,,70,,68.12,P060002,13492-1-1-1,,CH2,,,,,,,,,,,,,30,,14.03,P010001,13492-2-1-1,,C5H8,,,,,,,,,,,,,0,,68.12,P060002,13492-3-1-1,,,,,,,,,,,,,,,,,,,,"Ahmad, Sahrim; Abdullah, Ibrahim; Sulaiman, Che Som; Kohjiya, S.; Yoon, J. R. , Journal of Applied Polymer Science , 51 , 8 , 1357-1363 (1994)"
BD000027,"linear,Thermoplastic,Crystal",Neat resin,"Predried PBT/VLDPE premixed in tumbler mixer for 30min, then blended in co-rotating twin screw extruder at 260C and 70rpm, quenched in cold water, then pelletized",,,"polyethene//poly[(butane-1,4-diol)-alt-(terephthalic acid)]",,Blend,,"Injection: 250C
Shape of Test Piece: Test specimen (ASTM Std.)
Remarks: (DMA) rectangular test specimen",Compatibilizer unloaded,,,,,"['Glass transition temp. 75 [C]', 'Method: DMA', 'Condition: Frequency;1.6Hz & torsional mode', 'Remarks: tan(delta) peak temp. at alpha-transition']",,C12H12O4,100,,,,,,,,,,,,,,220.22,P090029,22123.01,,CH2,0,,,,,,,,,,,,,,14.03,P010001,22123.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saheb, D. Nabi; Jog, J. P. , Advances in Polymer Technology , 19 , 1 , 41-53 (2000)"
BD000027,"linear,Thermoplastic,Crystal",Neat resin,"Predried PBT/VLDPE premixed in tumbler mixer for 30min, then blended in co-rotating twin screw extruder at 260C and 70rpm, quenched in cold water, then pelletized",,"Immiscible, av. particle size of VLDPE domains;1.83micron;SEM","polyethene//poly[(butane-1,4-diol)-alt-(terephthalic acid)]",,Blend,,"Injection: 250C
Shape of Test Piece: Test specimen (ASTM Std.)
Remarks: (DMA) rectangular test specimen",Compatibilizer unloaded,,,,,"['Glass transition temp. 77 [C]', 'Method: DMA', 'Condition: Frequency;1.6Hz & torsional mode', 'Remarks: tan(delta) peak temp. at alpha-transition']",,C12H12O4,90,,,,,,,,,,,,,,220.22,P090029,22123.01,,CH2,10,,,,,,,,,,,,,,14.03,P010001,22123.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saheb, D. Nabi; Jog, J. P. , Advances in Polymer Technology , 19 , 1 , 41-53 (2000)"
